buy_at_utc,buy_price,dir,sell_at_utc,sell_price,gain,buy_at,sell_at,month,weekday,day,hour,delta
2017-01-02 07:33:00,117.022,-1,2017-01-02 09:34:00,117.409,-38.7,2017-01-02 09:33:00,2017-01-02 11:34:00,1,0,2,9,121
2017-01-02 08:03:00,117.151,-1,2017-01-02 10:06:00,117.416,-26.5,2017-01-02 10:03:00,2017-01-02 12:06:00,1,0,2,10,123
2017-01-02 19:50:00,117.59,-1,2017-01-02 21:56:00,117.569,2.1,2017-01-02 21:50:00,2017-01-02 23:56:00,1,0,2,21,126
2017-01-02 20:14:00,117.611,-1,2017-01-02 22:19:00,117.458,15.3,2017-01-02 22:14:00,2017-01-03 00:19:00,1,0,2,22,125
2017-01-02 22:01:00,117.529,1,2017-01-03 00:01:00,117.46,-6.9,2017-01-03 00:01:00,2017-01-03 02:01:00,1,1,3,0,120
2017-01-02 22:19:00,117.458,1,2017-01-03 00:19:00,117.4,-5.8,2017-01-03 00:19:00,2017-01-03 02:19:00,1,1,3,0,120
2017-01-02 22:37:00,117.358,1,2017-01-03 00:37:00,117.404,4.6,2017-01-03 00:37:00,2017-01-03 02:37:00,1,1,3,0,120
2017-01-03 01:14:00,117.321,1,2017-01-03 03:15:00,117.377,5.6,2017-01-03 03:14:00,2017-01-03 05:15:00,1,1,3,3,121
2017-01-03 07:49:00,117.877,-1,2017-01-03 09:49:00,118.172,-29.5,2017-01-03 09:49:00,2017-01-03 11:49:00,1,1,3,9,120
2017-01-03 08:30:00,117.969,-1,2017-01-03 10:30:00,118.142,-17.3,2017-01-03 10:30:00,2017-01-03 12:30:00,1,1,3,10,120
2017-01-03 09:34:00,118.19,-1,2017-01-03 11:34:00,118.305,-11.5,2017-01-03 11:34:00,2017-01-03 13:34:00,1,1,3,11,120
2017-01-03 09:52:00,118.181,-1,2017-01-03 11:52:00,118.26,-7.9,2017-01-03 11:52:00,2017-01-03 13:52:00,1,1,3,11,120
2017-01-03 10:58:00,118.279,-1,2017-01-03 12:58:00,118.179,10.0,2017-01-03 12:58:00,2017-01-03 14:58:00,1,1,3,12,120
2017-01-03 11:16:00,118.315,-1,2017-01-03 13:16:00,118.177,13.8,2017-01-03 13:16:00,2017-01-03 15:16:00,1,1,3,13,120
2017-01-03 12:00:00,118.2,1,2017-01-03 14:00:00,118.183,-1.7,2017-01-03 14:00:00,2017-01-03 16:00:00,1,1,3,14,120
2017-01-03 12:59:00,118.176,1,2017-01-03 14:50:00,118.111,-6.5,2017-01-03 14:59:00,2017-01-03 16:50:00,1,1,3,14,111
2017-01-03 14:52:00,118.076,1,2017-01-03 14:53:00,118.074,-0.200000000001,2017-01-03 16:52:00,2017-01-03 16:53:00,1,1,3,16,1
2017-01-03 17:52:00,117.465,1,2017-01-03 19:52:00,117.646,18.1,2017-01-03 19:52:00,2017-01-03 21:52:00,1,1,3,19,120
2017-01-03 18:48:00,117.47,-1,2017-01-03 20:48:00,117.622,-15.2,2017-01-03 20:48:00,2017-01-03 22:48:00,1,1,3,20,120
2017-01-03 20:26:00,117.541,1,2017-01-03 22:27:00,117.716,17.5,2017-01-03 22:26:00,2017-01-04 00:27:00,1,1,3,22,121
2017-01-03 20:43:00,117.574,1,2017-01-03 22:44:00,117.667,9.3,2017-01-03 22:43:00,2017-01-04 00:44:00,1,1,3,22,121
2017-01-03 21:03:00,117.678,-1,2017-01-03 23:04:00,117.651,2.7,2017-01-03 23:03:00,2017-01-04 01:04:00,1,1,3,23,121
2017-01-04 00:09:00,117.755,-1,2017-01-04 02:09:00,118.064,-30.9,2017-01-04 02:09:00,2017-01-04 04:09:00,1,2,4,2,120
2017-01-04 00:28:00,117.794,-1,2017-01-04 02:28:00,118.058,-26.4,2017-01-04 02:28:00,2017-01-04 04:28:00,1,2,4,2,120
2017-01-04 02:56:00,117.964,1,2017-01-04 04:56:00,117.991,2.7,2017-01-04 04:56:00,2017-01-04 06:56:00,1,2,4,4,120
2017-01-04 05:25:00,118.121,-1,2017-01-04 07:25:00,117.989,13.2,2017-01-04 07:25:00,2017-01-04 09:25:00,1,2,4,7,120
2017-01-04 06:36:00,118.034,1,2017-01-04 08:36:00,117.782,-25.2,2017-01-04 08:36:00,2017-01-04 10:36:00,1,2,4,8,120
2017-01-04 08:47:00,117.855,-1,2017-01-04 10:47:00,117.63,22.5,2017-01-04 10:47:00,2017-01-04 12:47:00,1,2,4,10,120
2017-01-04 09:12:00,117.742,1,2017-01-04 11:12:00,117.445,-29.7,2017-01-04 11:12:00,2017-01-04 13:12:00,1,2,4,11,120
2017-01-04 10:04:00,117.714,-1,2017-01-04 12:04:00,117.521,19.3,2017-01-04 12:04:00,2017-01-04 14:04:00,1,2,4,12,120
2017-01-04 10:33:00,117.594,1,2017-01-04 12:33:00,117.664,7.0,2017-01-04 12:33:00,2017-01-04 14:33:00,1,2,4,12,120
2017-01-04 11:47:00,117.54,-1,2017-01-04 13:47:00,117.591,-5.1,2017-01-04 13:47:00,2017-01-04 15:47:00,1,2,4,13,120
2017-01-04 13:50:00,117.63,-1,2017-01-04 15:50:00,117.204,42.6,2017-01-04 15:50:00,2017-01-04 17:50:00,1,2,4,15,120
2017-01-04 14:12:00,117.424,1,2017-01-04 16:12:00,117.335,-8.9,2017-01-04 16:12:00,2017-01-04 18:12:00,1,2,4,16,120
2017-01-04 16:32:00,117.376,-1,2017-01-04 18:32:00,117.423,-4.7,2017-01-04 18:32:00,2017-01-04 20:32:00,1,2,4,18,120
2017-01-04 16:49:00,117.427,-1,2017-01-04 18:49:00,117.355,7.2,2017-01-04 18:49:00,2017-01-04 20:49:00,1,2,4,18,120
2017-01-04 17:17:00,117.326,1,2017-01-04 18:50:00,117.365,3.9,2017-01-04 19:17:00,2017-01-04 20:50:00,1,2,4,19,93
2017-01-04 17:37:00,117.247,1,2017-01-04 18:50:00,117.365,11.8,2017-01-04 19:37:00,2017-01-04 20:50:00,1,2,4,19,73
2017-01-04 18:10:00,117.41,-1,2017-01-04 18:50:00,117.365,4.5,2017-01-04 20:10:00,2017-01-04 20:50:00,1,2,4,20,40
2017-01-04 20:23:00,117.523,1,2017-01-04 22:24:00,117.23,-29.3,2017-01-04 22:23:00,2017-01-05 00:24:00,1,2,4,22,121
2017-01-04 21:14:00,117.295,1,2017-01-04 23:15:00,117.33,3.5,2017-01-04 23:14:00,2017-01-05 01:15:00,1,2,4,23,121
2017-01-04 21:48:00,117.219,1,2017-01-04 23:49:00,117.383,16.4,2017-01-04 23:48:00,2017-01-05 01:49:00,1,2,4,23,121
2017-01-05 01:44:00,116.623,-1,2017-01-05 03:44:00,116.43,19.3,2017-01-05 03:44:00,2017-01-05 05:44:00,1,3,5,3,120
2017-01-05 04:22:00,116.544,-1,2017-01-05 06:22:00,116.249,29.5,2017-01-05 06:22:00,2017-01-05 08:22:00,1,3,5,6,120
2017-01-05 04:49:00,116.402,1,2017-01-05 06:49:00,115.829,-57.3,2017-01-05 06:49:00,2017-01-05 08:49:00,1,3,5,6,120
2017-01-05 05:14:00,116.327,1,2017-01-05 07:14:00,115.951,-37.6,2017-01-05 07:14:00,2017-01-05 09:14:00,1,3,5,7,120
2017-01-05 06:25:00,116.273,1,2017-01-05 08:25:00,116.229,-4.4,2017-01-05 08:25:00,2017-01-05 10:25:00,1,3,5,8,120
2017-01-05 10:29:00,116.462,1,2017-01-05 12:29:00,116.542,8.0,2017-01-05 12:29:00,2017-01-05 14:29:00,1,3,5,12,120
2017-01-05 10:47:00,116.657,-1,2017-01-05 12:47:00,116.561,9.6,2017-01-05 12:47:00,2017-01-05 14:47:00,1,3,5,12,120
2017-01-05 11:23:00,116.611,1,2017-01-05 13:23:00,116.346,-26.5,2017-01-05 13:23:00,2017-01-05 15:23:00,1,3,5,13,120
2017-01-05 11:40:00,116.567,1,2017-01-05 13:40:00,116.123,-44.4,2017-01-05 13:40:00,2017-01-05 15:40:00,1,3,5,13,120
2017-01-05 13:08:00,116.585,-1,2017-01-05 15:08:00,115.916,66.9,2017-01-05 15:08:00,2017-01-05 17:08:00,1,3,5,15,120
2017-01-05 18:29:00,115.542,-1,2017-01-05 20:29:00,115.637,-9.5,2017-01-05 20:29:00,2017-01-05 22:29:00,1,3,5,20,120
2017-01-05 19:15:00,115.701,-1,2017-01-05 21:15:00,115.492,20.9,2017-01-05 21:15:00,2017-01-05 23:15:00,1,3,5,21,120
2017-01-05 19:35:00,115.519,1,2017-01-05 21:35:00,115.409,-11.0,2017-01-05 21:35:00,2017-01-05 23:35:00,1,3,5,21,120
2017-01-05 20:14:00,115.636,-1,2017-01-05 22:15:00,115.321,31.5,2017-01-05 22:14:00,2017-01-06 00:15:00,1,3,5,22,121
2017-01-05 21:26:00,115.432,1,2017-01-05 23:27:00,115.374,-5.8,2017-01-05 23:26:00,2017-01-06 01:27:00,1,3,5,23,121
2017-01-05 21:51:00,115.367,1,2017-01-05 23:52:00,115.279,-8.8,2017-01-05 23:51:00,2017-01-06 01:52:00,1,3,5,23,121
2017-01-05 23:24:00,115.313,1,2017-01-06 01:24:00,115.913,60.0,2017-01-06 01:24:00,2017-01-06 03:24:00,1,4,6,1,120
2017-01-06 00:42:00,115.661,-1,2017-01-06 02:42:00,115.736,-7.5,2017-01-06 02:42:00,2017-01-06 04:42:00,1,4,6,2,120
2017-01-06 02:31:00,115.788,1,2017-01-06 04:31:00,115.684,-10.4,2017-01-06 04:31:00,2017-01-06 06:31:00,1,4,6,4,120
2017-01-06 03:37:00,115.883,-1,2017-01-06 05:37:00,115.931,-4.8,2017-01-06 05:37:00,2017-01-06 07:37:00,1,4,6,5,120
2017-01-06 04:03:00,115.771,1,2017-01-06 06:03:00,115.956,18.5,2017-01-06 06:03:00,2017-01-06 08:03:00,1,4,6,6,120
2017-01-06 04:21:00,115.72,1,2017-01-06 06:21:00,115.824,10.4,2017-01-06 06:21:00,2017-01-06 08:21:00,1,4,6,6,120
2017-01-06 04:52:00,115.865,-1,2017-01-06 06:52:00,116.156,-29.1,2017-01-06 06:52:00,2017-01-06 08:52:00,1,4,6,6,120
2017-01-06 05:53:00,115.992,-1,2017-01-06 07:53:00,116.299,-30.7,2017-01-06 07:53:00,2017-01-06 09:53:00,1,4,6,7,120
2017-01-06 06:11:00,115.806,1,2017-01-06 08:11:00,116.189,38.3,2017-01-06 08:11:00,2017-01-06 10:11:00,1,4,6,8,120
2017-01-06 08:27:00,116.163,1,2017-01-06 10:27:00,115.984,-17.9,2017-01-06 10:27:00,2017-01-06 12:27:00,1,4,6,10,120
2017-01-06 09:02:00,116.065,1,2017-01-06 11:02:00,115.791,-27.4,2017-01-06 11:02:00,2017-01-06 13:02:00,1,4,6,11,120
2017-01-06 09:18:00,116.049,1,2017-01-06 11:18:00,115.925,-12.4,2017-01-06 11:18:00,2017-01-06 13:18:00,1,4,6,11,120
2017-01-06 09:43:00,115.939,1,2017-01-06 11:43:00,115.908,-3.1,2017-01-06 11:43:00,2017-01-06 13:43:00,1,4,6,11,120
2017-01-06 10:50:00,115.834,1,2017-01-06 12:50:00,116.086,25.2,2017-01-06 12:50:00,2017-01-06 14:50:00,1,4,6,12,120
2017-01-06 11:23:00,115.92,-1,2017-01-06 13:20:00,116.006,-8.6,2017-01-06 13:23:00,2017-01-06 15:20:00,1,4,6,13,117
2017-01-06 12:02:00,116.076,-1,2017-01-06 13:20:00,116.006,7.0,2017-01-06 14:02:00,2017-01-06 15:20:00,1,4,6,14,78
2017-01-06 12:27:00,116.145,-1,2017-01-06 13:20:00,116.006,13.9,2017-01-06 14:27:00,2017-01-06 15:20:00,1,4,6,14,53
2017-01-06 17:53:00,116.858,1,2017-01-06 19:53:00,117.051,19.3,2017-01-06 19:53:00,2017-01-06 21:53:00,1,4,6,19,120
2017-01-06 18:39:00,116.985,-1,2017-01-06 20:39:00,117.021,-3.6,2017-01-06 20:39:00,2017-01-06 22:39:00,1,4,6,20,120
2017-01-06 18:55:00,117.071,-1,2017-01-06 20:55:00,117.009,6.2,2017-01-06 20:55:00,2017-01-06 22:55:00,1,4,6,20,120
2017-01-06 19:11:00,117.105,-1,2017-01-06 21:11:00,116.981,12.4,2017-01-06 21:11:00,2017-01-06 23:11:00,1,4,6,21,120
2017-01-06 19:28:00,117.025,1,2017-01-06 21:28:00,117.008,-1.7,2017-01-06 21:28:00,2017-01-06 23:28:00,1,4,6,21,120
2017-01-08 22:32:00,117.091,-1,2017-01-09 00:32:00,117.296,-20.5,2017-01-09 00:32:00,2017-01-09 02:32:00,1,0,9,0,120
2017-01-09 01:00:00,117.183,1,2017-01-09 03:00:00,117.313,13.0,2017-01-09 03:00:00,2017-01-09 05:00:00,1,0,9,3,120
2017-01-09 03:39:00,117.431,-1,2017-01-09 05:39:00,117.446,-1.5,2017-01-09 05:39:00,2017-01-09 07:39:00,1,0,9,5,120
2017-01-09 04:26:00,117.48,-1,2017-01-09 06:26:00,117.42,6.0,2017-01-09 06:26:00,2017-01-09 08:26:00,1,0,9,6,120
2017-01-09 07:16:00,117.321,1,2017-01-09 09:16:00,117.145,-17.6,2017-01-09 09:16:00,2017-01-09 11:16:00,1,0,9,9,120
2017-01-09 07:44:00,117.429,-1,2017-01-09 09:44:00,116.965,46.4,2017-01-09 09:44:00,2017-01-09 11:44:00,1,0,9,9,120
2017-01-09 08:12:00,117.279,1,2017-01-09 10:12:00,117.062,-21.7,2017-01-09 10:12:00,2017-01-09 12:12:00,1,0,9,10,120
2017-01-09 08:50:00,117.2,1,2017-01-09 10:50:00,117.093,-10.7,2017-01-09 10:50:00,2017-01-09 12:50:00,1,0,9,10,120
2017-01-09 10:11:00,117.065,-1,2017-01-09 12:11:00,116.739,32.6,2017-01-09 12:11:00,2017-01-09 14:11:00,1,0,9,12,120
2017-01-09 11:08:00,117.011,1,2017-01-09 13:08:00,116.614,-39.7,2017-01-09 13:08:00,2017-01-09 15:08:00,1,0,9,13,120
2017-01-09 18:41:00,116.236,-1,2017-01-09 20:41:00,116.116,12.0,2017-01-09 20:41:00,2017-01-09 22:41:00,1,0,9,20,120
2017-01-09 20:00:00,116.06,1,2017-01-09 22:00:00,116.01,-5.0,2017-01-09 22:00:00,2017-01-10 00:00:00,1,0,9,22,120
2017-01-09 20:34:00,116.163,-1,2017-01-09 22:34:00,115.824,33.9,2017-01-09 22:34:00,2017-01-10 00:34:00,1,0,9,22,120
2017-01-09 20:50:00,116.029,1,2017-01-09 22:50:00,115.811,-21.8,2017-01-09 22:50:00,2017-01-10 00:50:00,1,0,9,22,120
2017-01-09 21:06:00,116.045,1,2017-01-09 23:06:00,115.903,-14.2,2017-01-09 23:06:00,2017-01-10 01:06:00,1,0,9,23,120
2017-01-09 22:53:00,115.861,-1,2017-01-10 00:53:00,116.057,-19.6,2017-01-10 00:53:00,2017-01-10 02:53:00,1,1,10,0,120
2017-01-09 23:13:00,115.943,-1,2017-01-10 01:13:00,115.973,-3.0,2017-01-10 01:13:00,2017-01-10 03:13:00,1,1,10,1,120
2017-01-09 23:31:00,116.042,-1,2017-01-10 01:31:00,115.937,10.5,2017-01-10 01:31:00,2017-01-10 03:31:00,1,1,10,1,120
2017-01-10 00:45:00,116.031,-1,2017-01-10 02:45:00,115.634,39.7,2017-01-10 02:45:00,2017-01-10 04:45:00,1,1,10,2,120
2017-01-10 01:30:00,115.901,1,2017-01-10 03:30:00,115.606,-29.5,2017-01-10 03:30:00,2017-01-10 05:30:00,1,1,10,3,120
2017-01-10 01:54:00,116.009,-1,2017-01-10 03:54:00,115.33,67.9,2017-01-10 03:54:00,2017-01-10 05:54:00,1,1,10,3,120
2017-01-10 04:36:00,115.436,-1,2017-01-10 06:36:00,115.565,-12.9,2017-01-10 06:36:00,2017-01-10 08:36:00,1,1,10,6,120
2017-01-10 05:07:00,115.554,-1,2017-01-10 07:07:00,115.672,-11.8,2017-01-10 07:07:00,2017-01-10 09:07:00,1,1,10,7,120
2017-01-10 05:23:00,115.556,-1,2017-01-10 07:23:00,115.791,-23.5,2017-01-10 07:23:00,2017-01-10 09:23:00,1,1,10,7,120
2017-01-10 05:59:00,115.59,-1,2017-01-10 07:59:00,115.807,-21.7,2017-01-10 07:59:00,2017-01-10 09:59:00,1,1,10,7,120
2017-01-10 06:15:00,115.48,1,2017-01-10 08:15:00,115.898,41.8,2017-01-10 08:15:00,2017-01-10 10:15:00,1,1,10,8,120
2017-01-10 07:16:00,115.74,-1,2017-01-10 09:16:00,115.915,-17.5,2017-01-10 09:16:00,2017-01-10 11:16:00,1,1,10,9,120
2017-01-10 07:47:00,115.849,-1,2017-01-10 09:47:00,115.915,-6.6,2017-01-10 09:47:00,2017-01-10 11:47:00,1,1,10,9,120
2017-01-10 09:00:00,115.714,1,2017-01-10 11:00:00,115.817,10.3,2017-01-10 11:00:00,2017-01-10 13:00:00,1,1,10,11,120
2017-01-10 10:17:00,116.045,-1,2017-01-10 12:17:00,115.937,10.8,2017-01-10 12:17:00,2017-01-10 14:17:00,1,1,10,12,120
2017-01-10 11:04:00,115.848,1,2017-01-10 13:04:00,116.203,35.5,2017-01-10 13:04:00,2017-01-10 15:04:00,1,1,10,13,120
2017-01-10 11:26:00,115.953,-1,2017-01-10 13:26:00,116.241,-28.8,2017-01-10 13:26:00,2017-01-10 15:26:00,1,1,10,13,120
2017-01-10 13:49:00,116.191,1,2017-01-10 15:49:00,115.633,-55.8,2017-01-10 15:49:00,2017-01-10 17:49:00,1,1,10,15,120
2017-01-10 14:21:00,116.059,1,2017-01-10 16:21:00,115.425,-63.4,2017-01-10 16:21:00,2017-01-10 18:21:00,1,1,10,16,120
2017-01-10 18:44:00,115.748,1,2017-01-10 20:44:00,115.668,-8.0,2017-01-10 20:44:00,2017-01-10 22:44:00,1,1,10,20,120
2017-01-10 20:55:00,115.647,1,2017-01-10 22:55:00,115.823,17.6,2017-01-10 22:55:00,2017-01-11 00:55:00,1,1,10,22,120
2017-01-11 00:07:00,115.723,1,2017-01-11 02:07:00,116.05,32.7,2017-01-11 02:07:00,2017-01-11 04:07:00,1,2,11,2,120
2017-01-11 00:39:00,115.819,-1,2017-01-11 02:39:00,116.207,-38.8,2017-01-11 02:39:00,2017-01-11 04:39:00,1,2,11,2,120
2017-01-11 00:58:00,115.922,-1,2017-01-11 02:58:00,116.104,-18.2,2017-01-11 02:58:00,2017-01-11 04:58:00,1,2,11,2,120
2017-01-11 01:38:00,115.927,1,2017-01-11 03:38:00,116.023,9.6,2017-01-11 03:38:00,2017-01-11 05:38:00,1,2,11,3,120
2017-01-11 01:54:00,115.86,1,2017-01-11 03:54:00,115.957,9.7,2017-01-11 03:54:00,2017-01-11 05:54:00,1,2,11,3,120
2017-01-11 03:08:00,116.107,1,2017-01-11 05:08:00,116.063,-4.4,2017-01-11 05:08:00,2017-01-11 07:08:00,1,2,11,5,120
2017-01-11 03:29:00,115.98,1,2017-01-11 05:29:00,116.064,8.4,2017-01-11 05:29:00,2017-01-11 07:29:00,1,2,11,5,120
2017-01-11 04:32:00,116.123,-1,2017-01-11 06:32:00,115.951,17.2,2017-01-11 06:32:00,2017-01-11 08:32:00,1,2,11,6,120
2017-01-11 05:49:00,116.003,1,2017-01-11 07:49:00,116.089,8.6,2017-01-11 07:49:00,2017-01-11 09:49:00,1,2,11,7,120
2017-01-11 06:09:00,115.902,1,2017-01-11 08:09:00,116.072,17.0,2017-01-11 08:09:00,2017-01-11 10:09:00,1,2,11,8,120
2017-01-11 06:38:00,116.051,-1,2017-01-11 08:38:00,115.857,19.4,2017-01-11 08:38:00,2017-01-11 10:38:00,1,2,11,8,120
2017-01-11 08:36:00,115.892,1,2017-01-11 10:36:00,116.303,41.1,2017-01-11 10:36:00,2017-01-11 12:36:00,1,2,11,10,120
2017-01-11 08:59:00,115.983,-1,2017-01-11 10:59:00,116.342,-35.9,2017-01-11 10:59:00,2017-01-11 12:59:00,1,2,11,10,120
2017-01-11 09:24:00,116.049,-1,2017-01-11 11:24:00,116.281,-23.2,2017-01-11 11:24:00,2017-01-11 13:24:00,1,2,11,11,120
2017-01-11 09:45:00,116.142,-1,2017-01-11 11:45:00,116.263,-12.1,2017-01-11 11:45:00,2017-01-11 13:45:00,1,2,11,11,120
2017-01-11 10:10:00,116.238,-1,2017-01-11 12:10:00,116.328,-9.0,2017-01-11 12:10:00,2017-01-11 14:10:00,1,2,11,12,120
2017-01-11 10:29:00,116.286,-1,2017-01-11 12:29:00,116.261,2.5,2017-01-11 12:29:00,2017-01-11 14:29:00,1,2,11,12,120
2017-01-11 11:16:00,116.256,1,2017-01-11 13:16:00,116.249,-0.700000000001,2017-01-11 13:16:00,2017-01-11 15:16:00,1,2,11,13,120
2017-01-11 13:09:00,116.273,-1,2017-01-11 15:09:00,116.705,-43.2,2017-01-11 15:09:00,2017-01-11 17:09:00,1,2,11,15,120
2017-01-11 20:47:00,115.458,1,2017-01-11 22:47:00,115.451,-0.699999999999,2017-01-11 22:47:00,2017-01-12 00:47:00,1,2,11,22,120
2017-01-11 21:06:00,115.361,1,2017-01-11 23:06:00,115.37,0.9,2017-01-11 23:06:00,2017-01-12 01:06:00,1,2,11,23,120
2017-01-11 21:23:00,115.318,1,2017-01-11 23:23:00,115.276,-4.2,2017-01-11 23:23:00,2017-01-12 01:23:00,1,2,11,23,120
2017-01-11 21:48:00,115.395,-1,2017-01-11 23:48:00,115.089,30.6,2017-01-11 23:48:00,2017-01-12 01:48:00,1,2,11,23,120
2017-01-11 22:39:00,115.441,-1,2017-01-12 00:39:00,115.148,29.3,2017-01-12 00:39:00,2017-01-12 02:39:00,1,3,12,0,120
2017-01-11 23:23:00,115.276,1,2017-01-12 01:23:00,115.186,-9.0,2017-01-12 01:23:00,2017-01-12 03:23:00,1,3,12,1,120
2017-01-12 04:32:00,114.578,-1,2017-01-12 06:32:00,114.558,2.0,2017-01-12 06:32:00,2017-01-12 08:32:00,1,3,12,6,120
2017-01-12 05:25:00,114.745,-1,2017-01-12 07:25:00,114.444,30.1,2017-01-12 07:25:00,2017-01-12 09:25:00,1,3,12,7,120
2017-01-12 06:32:00,114.558,-1,2017-01-12 08:32:00,114.038,52.0,2017-01-12 08:32:00,2017-01-12 10:32:00,1,3,12,8,120
2017-01-12 11:03:00,114.181,1,2017-01-12 13:03:00,113.977,-20.4,2017-01-12 13:03:00,2017-01-12 15:03:00,1,3,12,13,120
2017-01-12 17:11:00,113.934,1,2017-01-12 19:11:00,114.281,34.7,2017-01-12 19:11:00,2017-01-12 21:11:00,1,3,12,19,120
2017-01-12 18:03:00,114.138,-1,2017-01-12 20:03:00,114.659,-52.1,2017-01-12 20:03:00,2017-01-12 22:03:00,1,3,12,20,120
2017-01-12 18:57:00,114.373,-1,2017-01-12 20:57:00,114.558,-18.5,2017-01-12 20:57:00,2017-01-12 22:57:00,1,3,12,20,120
2017-01-12 19:27:00,114.251,1,2017-01-12 21:27:00,114.643,39.2,2017-01-12 21:27:00,2017-01-12 23:27:00,1,3,12,21,120
2017-01-12 20:41:00,114.61,1,2017-01-12 22:41:00,114.65,4.0,2017-01-12 22:41:00,2017-01-13 00:41:00,1,3,12,22,120
2017-01-12 21:30:00,114.69,-1,2017-01-12 23:30:00,114.739,-4.9,2017-01-12 23:30:00,2017-01-13 01:30:00,1,3,12,23,120
2017-01-12 21:46:00,114.724,-1,2017-01-12 23:46:00,114.714,0.999999999999,2017-01-12 23:46:00,2017-01-13 01:46:00,1,3,12,23,120
2017-01-12 22:22:00,114.64,1,2017-01-13 00:22:00,114.824,18.4,2017-01-13 00:22:00,2017-01-13 02:22:00,1,4,13,0,120
2017-01-12 23:01:00,114.71,-1,2017-01-13 01:01:00,115.09,-38.0,2017-01-13 01:01:00,2017-01-13 03:01:00,1,4,13,1,120
2017-01-13 00:02:00,114.657,1,2017-01-13 02:02:00,114.968,31.1,2017-01-13 02:02:00,2017-01-13 04:02:00,1,4,13,2,120
2017-01-13 00:42:00,114.96,-1,2017-01-13 02:42:00,115.001,-4.1,2017-01-13 02:42:00,2017-01-13 04:42:00,1,4,13,2,120
2017-01-13 01:34:00,114.939,1,2017-01-13 03:34:00,115.078,13.9,2017-01-13 03:34:00,2017-01-13 05:34:00,1,4,13,3,120
2017-01-13 01:50:00,114.876,1,2017-01-13 03:50:00,115.076,20.0,2017-01-13 03:50:00,2017-01-13 05:50:00,1,4,13,3,120
2017-01-13 02:35:00,115.038,-1,2017-01-13 04:35:00,114.978,6.0,2017-01-13 04:35:00,2017-01-13 06:35:00,1,4,13,4,120
2017-01-13 02:58:00,115.118,-1,2017-01-13 04:58:00,114.961,15.7,2017-01-13 04:58:00,2017-01-13 06:58:00,1,4,13,4,120
2017-01-13 04:32:00,114.977,1,2017-01-13 06:32:00,114.864,-11.3,2017-01-13 06:32:00,2017-01-13 08:32:00,1,4,13,6,120
2017-01-13 06:04:00,114.922,1,2017-01-13 08:04:00,114.696,-22.6,2017-01-13 08:04:00,2017-01-13 10:04:00,1,4,13,8,120
2017-01-13 06:28:00,114.854,1,2017-01-13 08:28:00,114.625,-22.9,2017-01-13 08:28:00,2017-01-13 10:28:00,1,4,13,8,120
2017-01-13 06:48:00,114.746,1,2017-01-13 08:48:00,114.755,0.899999999999,2017-01-13 08:48:00,2017-01-13 10:48:00,1,4,13,8,120
2017-01-13 07:33:00,114.675,1,2017-01-13 09:33:00,114.595,-8.0,2017-01-13 09:33:00,2017-01-13 11:33:00,1,4,13,9,120
2017-01-13 07:49:00,114.626,1,2017-01-13 09:49:00,114.633,0.699999999999,2017-01-13 09:49:00,2017-01-13 11:49:00,1,4,13,9,120
2017-01-13 08:41:00,114.705,-1,2017-01-13 10:41:00,114.56,14.5,2017-01-13 10:41:00,2017-01-13 12:41:00,1,4,13,10,120
2017-01-13 09:06:00,114.838,-1,2017-01-13 11:06:00,114.675,16.3,2017-01-13 11:06:00,2017-01-13 13:06:00,1,4,13,11,120
2017-01-13 09:27:00,114.628,1,2017-01-13 11:27:00,114.586,-4.2,2017-01-13 11:27:00,2017-01-13 13:27:00,1,4,13,11,120
2017-01-13 11:10:00,114.659,-1,2017-01-13 13:10:00,114.412,24.7,2017-01-13 13:10:00,2017-01-13 15:10:00,1,4,13,13,120
2017-01-13 13:29:00,114.348,1,2017-01-13 13:30:00,114.248,-10.0,2017-01-13 15:29:00,2017-01-13 15:30:00,1,4,13,15,1
2017-01-13 16:34:00,115.184,-1,2017-01-13 18:34:00,114.661,52.3,2017-01-13 18:34:00,2017-01-13 20:34:00,1,4,13,18,120
2017-01-13 19:44:00,114.397,1,2017-01-13 21:44:00,114.536,13.9,2017-01-13 21:44:00,2017-01-13 23:44:00,1,4,13,21,120
2017-01-13 20:12:00,114.492,-1,2017-01-13 21:59:00,114.46,3.2,2017-01-13 22:12:00,2017-01-13 23:59:00,1,4,13,22,107
2017-01-13 20:43:00,114.616,-1,2017-01-13 21:59:00,114.46,15.6,2017-01-13 22:43:00,2017-01-13 23:59:00,1,4,13,22,76
2017-01-13 21:17:00,114.521,1,2017-01-13 21:59:00,114.46,-6.1,2017-01-13 23:17:00,2017-01-13 23:59:00,1,4,13,23,42
2017-01-16 00:04:00,114.249,-1,2017-01-16 02:04:00,114.288,-3.9,2017-01-16 02:04:00,2017-01-16 04:04:00,1,0,16,2,120
2017-01-16 00:37:00,114.358,-1,2017-01-16 02:37:00,114.029,32.9,2017-01-16 02:37:00,2017-01-16 04:37:00,1,0,16,2,120
2017-01-16 03:20:00,114.163,-1,2017-01-16 05:20:00,114.08,8.3,2017-01-16 05:20:00,2017-01-16 07:20:00,1,0,16,5,120
2017-01-16 05:17:00,114.144,1,2017-01-16 07:17:00,113.796,-34.8,2017-01-16 07:17:00,2017-01-16 09:17:00,1,0,16,7,120
